Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,FALSE
Mega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,FALSE
Abra,Psychic,,310,25,20,15,105,55,90,1,FALSE
Absol,Dark,,465,65,130,60,75,60,75,3,FALSE
Mega Absol,Dark,,565,65,150,60,115,60,115,3,FALSE
Accelgor,Bug,,495,80,70,40,100,60,145,5,FALSE
Aegislash Blade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,FALSE
Aegislash Shield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,FALSE
Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE
Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,FALSE
Aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE
Mega Aggron,Steel,,630,70,140,230,60,80,50,3,FALSE
Aipom,Normal,,360,55,70,55,40,55,85,2,FALSE
Alakazam,Psychic,,500,55,50,45,135,95,120,1,FALSE
Mega Alakazam,Psychic,,590,55,50,65,175,95,150,1,FALSE
Alomomola,Water,,470,165,75,80,40,45,65,5,FALSE
Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,FALSE
Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,FALSE
Amaura,Rock,Ice,362,77,59,50,67,63,46,6,FALSE
Ambipom,Normal,,482,75,100,66,60,66,115,4,FALSE
Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,FALSE
Ampharos,Electric,,510,90,75,85,115,90,55,2,FALSE
Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,FALSE
Anorith,Rock,Bug,355,45,95,50,40,50,75,3,FALSE
Arbok,Poison,,438,60,85,69,65,79,80,1,FALSE
Arcanine,Fire,,555,90,110,80,100,80,95,1,FALSE
Arceus,Normal,,720,120,120,120,120,120,120,4,TRUE
Archen,Rock,Flying,401,55,112,45,74,45,70,5,FALSE
Archeops,Rock,Flying,567,75,140,65,112,65,110,5,FALSE
Ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE
Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,FALSE
Aromatisse,Fairy,,462,101,72,72,99,89,29,6,FALSE
Aron,Steel,Rock,330,50,70,100,40,40,30,3,FALSE
Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE
